matrix,config,run_type,schedule,chunk,threads,L1_misses_val_mean,L1_misses_val_std,L1_misses_val_min,L1_misses_val_max,L1_percent_val_mean,L1_percent_val_std,L1_percent_val_min,L1_percent_val_max,LLC_misses_val_mean,LLC_misses_val_std,LLC_misses_val_min,LLC_misses_val_max,LLC_percent_val_mean,LLC_percent_val_std,LLC_percent_val_min,LLC_percent_val_max,repeat_count
crankseg_1,dynamic_c1_t4,parallel,dynamic,1.0,4.0,13295701.6,328475.8315425962,12866302.0,13661879.0,0.391,0.009944289260117537,0.38,0.4,421429.0,46109.192961442684,355953.0,466684.0,77.155,1.557613915933959,74.27,78.81,10
crankseg_1,dynamic_c1_t64,parallel,dynamic,1.0,64.0,14694703.7,316561.76373938343,14200967.0,14948856.0,0.42400000000000004,0.011737877907772684,0.41,0.44,512122.4,54494.672828737224,418759.0,581062.0,50.661,1.7822672826112989,48.0,53.39,10
crankseg_1,dynamic_c1_t8,parallel,dynamic,1.0,8.0,13502987.4,301294.6487798576,13182176.0,13978047.0,0.397,0.008232726023485633,0.39,0.41,494404.7,50173.87173298247,439487.0,561938.0,75.426,2.060578128152928,72.32,77.59,10
crankseg_1,guided_c10000_t1,parallel,guided,10000.0,1.0,12058433.0,241183.6510913994,11640039.0,12364730.0,0.354,0.008432740427115675,0.34,0.36,77277.3,14576.66749790378,50823.0,90329.0,66.095,1.6924751762499268,64.17,68.39,10
crankseg_1,guided_c10000_t16,parallel,guided,10000.0,16.0,12007380.4,262270.1475070652,11569634.0,12249002.0,0.353,0.009486832980505117,0.34,0.36,81597.5,18073.733127571257,55749.0,103426.0,65.894,2.980571160775141,62.62,71.72,10
crankseg_1,guided_c10000_t2,parallel,guided,10000.0,2.0,12036880.0,328791.9127448916,11553706.0,12362304.0,0.353,0.009486832980505122,0.34,0.36,74902.9,17130.71312292632,50363.0,91410.0,66.084,2.0203531044514653,62.93,68.52,10
crankseg_1,guided_c10000_t32,parallel,guided,10000.0,32.0,11857015.1,245661.26584947546,11635950.0,12192409.0,0.346,0.008432740427115655,0.34,0.36,71481.7,18311.535866466496,55545.0,99540.0,63.391,2.584059897826586,60.55,68.71,10
crankseg_1,guided_c10000_t4,parallel,guided,10000.0,4.0,12030182.1,260381.441409607,11573786.0,12282358.0,0.355,0.008498365855987965,0.34,0.36,78076.1,16665.878591034772,54953.0,98399.0,67.15299999999999,1.9536862593569104,64.75,71.82,10
crankseg_1,guided_c10000_t64,parallel,guided,10000.0,64.0,11956355.0,274257.71630955656,11602356.0,12278547.0,0.344,0.006992058987800989,0.33,0.35,75034.4,17842.588017312835,56801.0,98881.0,60.564,2.378352370865176,57.2,64.7,10
crankseg_1,guided_c10000_t8,parallel,guided,10000.0,8.0,12004861.0,283963.82774884865,11676306.0,12354745.0,0.353,0.009486832980505136,0.34,0.36,79890.4,19678.933486232316,55998.0,102213.0,67.77799999999999,2.2836413417561388,64.35,71.14,10
crankseg_1,guided_c1000_t1,parallel,guided,1000.0,1.0,11809659.9,244163.58600215788,11559289.0,12180248.0,0.346,0.00843274042711566,0.34,0.36,63398.9,15121.538012972682,51720.0,89218.0,65.57000000000001,1.1141115044933516,64.57,67.89,10
crankseg_1,guided_c1000_t16,parallel,guided,1000.0,16.0,11824215.4,248761.54957584944,11630915.0,12276318.0,0.34700000000000003,0.009486832980505108,0.34,0.36,69282.9,13798.965013120851,59958.0,90995.0,62.694,1.2089315760437214,61.25,64.5,10
crankseg_1,guided_c1000_t2,parallel,guided,1000.0,2.0,11994371.5,309870.193122952,11546362.0,12400154.0,0.354,0.009660917830792957,0.34,0.37,72229.5,18947.925592997708,50801.0,93028.0,65.94200000000001,2.603313273503593,62.9,70.51,10
crankseg_1,guided_c1000_t32,parallel,guided,1000.0,32.0,12039982.4,316177.86305397435,11635669.0,12364759.0,0.352,0.010327955589886431,0.34,0.36,84121.3,20379.658709660038,60106.0,102902.0,61.437,2.7780410764101777,58.03,64.64,10
crankseg_1,guided_c1000_t4,parallel,guided,1000.0,4.0,11970873.9,260535.40955009038,11649945.0,12254986.0,0.352,0.010327955589886431,0.34,0.36,76121.8,17695.731574466074,56147.0,100759.0,66.986,1.381208810346131,65.84,70.11,10
crankseg_1,guided_c1000_t64,parallel,guided,1000.0,64.0,12114626.0,312941.4961327082,11711304.0,12419027.0,0.351,0.008755950357709125,0.34,0.36,90040.8,21380.072293818113,64301.0,109388.0,60.165,3.519202087595046,55.68,64.47,10
crankseg_1,guided_c1000_t8,parallel,guided,1000.0,8.0,12016051.4,303328.31370359584,11601128.0,12320597.0,0.353,0.009486832980505122,0.34,0.36,79472.7,18538.94818453541,57556.0,99547.0,66.155,1.6450818959688442,64.2,68.85,10
crankseg_1,guided_c100_t1,parallel,guided,100.0,1.0,11995362.6,313728.44628620363,11518191.0,12321593.0,0.354,0.009660917830792938,0.34,0.36,76082.3,17541.439678974788,51576.0,91477.0,66.80600000000001,1.7939912052305176,64.36,69.18,10
crankseg_1,guided_c100_t16,parallel,guided,100.0,16.0,12161041.2,277334.41388964176,11649273.0,12388811.0,0.355,0.00849836585598796,0.34,0.36,91938.9,16217.616933103609,62262.0,105392.0,64.07300000000001,2.2562163509340643,60.29,66.9,10
crankseg_1,guided_c100_t2,parallel,guided,100.0,2.0,11964812.1,259253.82385970314,11646694.0,12265516.0,0.351,0.009944289260117508,0.34,0.36,69518.6,15962.160541591966,50741.0,90107.0,65.204,1.2871346299263176,63.94,67.97,10
crankseg_1,guided_c100_t32,parallel,guided,100.0,32.0,12078932.4,292126.94111034845,11637757.0,12435658.0,0.356,0.009660917830792969,0.34,0.37,88087.4,17686.47114604833,63361.0,109109.0,59.125,2.946867451681154,55.35,64.5,10
crankseg_1,guided_c100_t4,parallel,guided,100.0,4.0,11890002.7,228458.54057577066,11573893.0,12162799.0,0.35,0.009428090415820626,0.34,0.36,68825.7,15514.92780124283,55474.0,88415.0,66.593,1.136447192887653,65.45,69.23,10
crankseg_1,guided_c100_t64,parallel,guided,100.0,64.0,12146128.2,283583.4354145375,11715039.0,12444437.0,0.351,0.008755950357709121,0.34,0.36,93597.8,19712.093184979956,64441.0,111391.0,55.273,3.5750992216223096,49.85,59.32,10
