matrix,run_type,schedule,chunk,threads,config,p90_time_ms,count
ldoor,parallel,guided,1000,8,guided_c1000_t8,11.8086,10
ldoor,parallel,guided,1000,16,guided_c1000_t16,11.735000000000001,10
ldoor,parallel,guided,1000,32,guided_c1000_t32,51.805,10
ldoor,parallel,guided,1000,64,guided_c1000_t64,156.594,10
ldoor,parallel,guided,10000,1,guided_c10000_t1,26.502100000000002,10
ldoor,parallel,guided,10000,2,guided_c10000_t2,21.036700000000003,10
ldoor,parallel,guided,10000,4,guided_c10000_t4,13.684800000000001,10
ldoor,parallel,guided,10000,8,guided_c10000_t8,10.4129,10
ldoor,parallel,guided,10000,16,guided_c10000_t16,11.773800000000001,10
ldoor,parallel,guided,10000,32,guided_c10000_t32,68.2744,10
ldoor,parallel,guided,10000,64,guided_c10000_t64,119.69309999999999,10
msdoor,sequential,sequential,-,-,seq,10.9654,10
msdoor,parallel,static,1,1,static_c1_t1,11.479,10
msdoor,parallel,static,1,2,static_c1_t2,15.0331,10
msdoor,parallel,static,1,4,static_c1_t4,14.8229,10
msdoor,parallel,static,1,8,static_c1_t8,10.4998,10
msdoor,parallel,static,1,16,static_c1_t16,6.5724,10
msdoor,parallel,static,1,32,static_c1_t32,4.3468,10
msdoor,parallel,static,1,64,static_c1_t64,5.188400000000001,10
msdoor,parallel,static,10,1,static_c10_t1,11.1927,10
msdoor,parallel,static,10,2,static_c10_t2,14.0657,10
msdoor,parallel,static,10,4,static_c10_t4,8.014499999999998,10
msdoor,parallel,static,10,8,static_c10_t8,5.986199999999999,10
msdoor,parallel,static,10,16,static_c10_t16,6.0813999999999995,10
msdoor,parallel,static,10,32,static_c10_t32,4.4292,10
msdoor,parallel,static,10,64,static_c10_t64,26.0301,10
msdoor,parallel,static,100,1,static_c100_t1,17.118199999999995,10
msdoor,parallel,static,100,2,static_c100_t2,8.1298,10
msdoor,parallel,static,100,4,static_c100_t4,4.0664,10
msdoor,parallel,static,100,8,static_c100_t8,2.7483,10
msdoor,parallel,static,100,16,static_c100_t16,2.7377000000000002,10
msdoor,parallel,static,100,32,static_c100_t32,2.3447,10
msdoor,parallel,static,100,64,static_c100_t64,1.2678999999999996,10
msdoor,parallel,static,1000,1,static_c1000_t1,11.136800000000001,10
msdoor,parallel,static,1000,2,static_c1000_t2,6.7605,10
msdoor,parallel,static,1000,4,static_c1000_t4,3.9962,10
msdoor,parallel,static,1000,8,static_c1000_t8,2.2159000000000004,10
msdoor,parallel,static,1000,16,static_c1000_t16,1.5971,10
msdoor,parallel,static,1000,32,static_c1000_t32,1.1217,10
msdoor,parallel,static,1000,64,static_c1000_t64,25.5431,10
msdoor,parallel,static,10000,1,static_c10000_t1,11.1455,10
msdoor,parallel,static,10000,2,static_c10000_t2,6.6273,10
msdoor,parallel,static,10000,4,static_c10000_t4,3.3892,10
msdoor,parallel,static,10000,8,static_c10000_t8,1.9903999999999997,10
msdoor,parallel,static,10000,16,static_c10000_t16,1.3821,10
msdoor,parallel,static,10000,32,static_c10000_t32,1.0987999999999998,10
msdoor,parallel,static,10000,64,static_c10000_t64,1.0363,10
msdoor,parallel,dynamic,1,1,dynamic_c1_t1,18.9402,10
msdoor,parallel,dynamic,1,2,dynamic_c1_t2,31.5721,10
msdoor,parallel,dynamic,1,4,dynamic_c1_t4,49.292300000000004,10
msdoor,parallel,dynamic,1,8,dynamic_c1_t8,43.5103,10
msdoor,parallel,dynamic,1,16,dynamic_c1_t16,33.285999999999994,10
msdoor,parallel,dynamic,1,32,dynamic_c1_t32,30.614600000000003,10
msdoor,parallel,dynamic,1,64,dynamic_c1_t64,52.000299999999996,10
msdoor,parallel,dynamic,10,1,dynamic_c10_t1,24.412999999999997,10
msdoor,parallel,dynamic,10,2,dynamic_c10_t2,13.850699999999998,10
msdoor,parallel,dynamic,10,4,dynamic_c10_t4,10.496,10
msdoor,parallel,dynamic,10,8,dynamic_c10_t8,7.2757,10
msdoor,parallel,dynamic,10,16,dynamic_c10_t16,5.8347,10
msdoor,parallel,dynamic,10,32,dynamic_c10_t32,5.493600000000001,10
msdoor,parallel,dynamic,10,64,dynamic_c10_t64,3.6896,10
msdoor,parallel,dynamic,100,1,dynamic_c100_t1,11.2796,10
msdoor,parallel,dynamic,100,2,dynamic_c100_t2,8.6486,10
msdoor,parallel,dynamic,100,4,dynamic_c100_t4,5.1493,10
msdoor,parallel,dynamic,100,8,dynamic_c100_t8,3.2049000000000003,10
msdoor,parallel,dynamic,100,16,dynamic_c100_t16,6.044699999999996,10
msdoor,parallel,dynamic,100,32,dynamic_c100_t32,7.653599999999997,10
msdoor,parallel,dynamic,100,64,dynamic_c100_t64,45.1857,10
msdoor,parallel,dynamic,1000,1,dynamic_c1000_t1,13.0612,10
msdoor,parallel,dynamic,1000,2,dynamic_c1000_t2,8.8293,10
msdoor,parallel,dynamic,1000,4,dynamic_c1000_t4,3.9362,10
msdoor,parallel,dynamic,1000,8,dynamic_c1000_t8,4.851999999999999,10
msdoor,parallel,dynamic,1000,16,dynamic_c1000_t16,4.8652,10
msdoor,parallel,dynamic,1000,32,dynamic_c1000_t32,25.9893,10
msdoor,parallel,dynamic,1000,64,dynamic_c1000_t64,40.5838,10
msdoor,parallel,dynamic,10000,1,dynamic_c10000_t1,13.1989,10
msdoor,parallel,dynamic,10000,2,dynamic_c10000_t2,6.6241,10
msdoor,parallel,dynamic,10000,4,dynamic_c10000_t4,5.1602,10
msdoor,parallel,dynamic,10000,8,dynamic_c10000_t8,4.6419,10
msdoor,parallel,dynamic,10000,16,dynamic_c10000_t16,4.653499999999999,10
msdoor,parallel,dynamic,10000,32,dynamic_c10000_t32,4.4174999999999995,10
msdoor,parallel,dynamic,10000,64,dynamic_c10000_t64,26.306499999999996,10
msdoor,parallel,guided,1,1,guided_c1_t1,12.972,10
msdoor,parallel,guided,1,2,guided_c1_t2,6.5161,10
msdoor,parallel,guided,1,4,guided_c1_t4,3.8279,10
msdoor,parallel,guided,1,8,guided_c1_t8,5.264899999999999,10
msdoor,parallel,guided,1,16,guided_c1_t16,4.445599999999999,10
msdoor,parallel,guided,1,32,guided_c1_t32,26.094199999999997,10
msdoor,parallel,guided,1,64,guided_c1_t64,32.74689999999999,10
msdoor,parallel,guided,10,1,guided_c10_t1,12.972699999999998,10
msdoor,parallel,guided,10,2,guided_c10_t2,6.4948,10
msdoor,parallel,guided,10,4,guided_c10_t4,5.0782,10
msdoor,parallel,guided,10,8,guided_c10_t8,4.680899999999999,10
msdoor,parallel,guided,10,16,guided_c10_t16,5.824799999999995,10
msdoor,parallel,guided,10,32,guided_c10_t32,10.080099999999996,10
msdoor,parallel,guided,10,64,guided_c10_t64,54.39489999999999,10
msdoor,parallel,guided,100,1,guided_c100_t1,13.0455,10
msdoor,parallel,guided,100,2,guided_c100_t2,9.3105,10
msdoor,parallel,guided,100,4,guided_c100_t4,5.5100999999999996,10
msdoor,parallel,guided,100,8,guided_c100_t8,4.3332,10
msdoor,parallel,guided,100,16,guided_c100_t16,4.660299999999999,10
msdoor,parallel,guided,100,32,guided_c100_t32,4.4117999999999995,10
msdoor,parallel,guided,100,64,guided_c100_t64,54.292199999999994,10
msdoor,parallel,guided,1000,1,guided_c1000_t1,12.9117,10
msdoor,parallel,guided,1000,2,guided_c1000_t2,9.563699999999999,10
msdoor,parallel,guided,1000,4,guided_c1000_t4,5.6717,10
msdoor,parallel,guided,1000,8,guided_c1000_t8,6.559699999999995,10
msdoor,parallel,guided,1000,16,guided_c1000_t16,4.8903,10
