run_type,mode,schedule,chunk,threads,repeat,metric,value,log_file
parallel,code,guided,1,2,3,time,0.000132,../results/logs/guided_c1_t2.log
parallel,code,guided,1,4,1,time,0.000295,../results/logs/guided_c1_t4.log
parallel,code,guided,1,4,2,time,0.000265,../results/logs/guided_c1_t4.log
parallel,code,guided,1,4,3,time,0.000227,../results/logs/guided_c1_t4.log
parallel,code,guided,1,8,1,time,0.000413,../results/logs/guided_c1_t8.log
parallel,code,guided,1,8,2,time,0.000467,../results/logs/guided_c1_t8.log
parallel,code,guided,1,8,3,time,0.000442,../results/logs/guided_c1_t8.log
parallel,code,guided,10,1,1,time,0.000034,../results/logs/guided_c10_t1.log
parallel,code,guided,10,1,2,time,0.000028,../results/logs/guided_c10_t1.log
parallel,code,guided,10,1,3,time,0.000040,../results/logs/guided_c10_t1.log
parallel,code,guided,10,2,1,time,0.000185,../results/logs/guided_c10_t2.log
parallel,code,guided,10,2,2,time,0.000199,../results/logs/guided_c10_t2.log
parallel,code,guided,10,2,3,time,0.000177,../results/logs/guided_c10_t2.log
parallel,code,guided,10,4,1,time,0.000217,../results/logs/guided_c10_t4.log
parallel,code,guided,10,4,2,time,0.000319,../results/logs/guided_c10_t4.log
parallel,code,guided,10,4,3,time,0.000245,../results/logs/guided_c10_t4.log
parallel,code,guided,10,8,1,time,0.000397,../results/logs/guided_c10_t8.log
parallel,code,guided,10,8,2,time,0.000419,../results/logs/guided_c10_t8.log
parallel,code,guided,10,8,3,time,0.000460,../results/logs/guided_c10_t8.log
parallel,code,guided,100,1,1,time,0.000028,../results/logs/guided_c100_t1.log
parallel,code,guided,100,1,2,time,0.000033,../results/logs/guided_c100_t1.log
parallel,code,guided,100,1,3,time,0.000030,../results/logs/guided_c100_t1.log
parallel,code,guided,100,2,1,time,0.000181,../results/logs/guided_c100_t2.log
parallel,code,guided,100,2,2,time,0.000161,../results/logs/guided_c100_t2.log
parallel,code,guided,100,2,3,time,0.000143,../results/logs/guided_c100_t2.log
parallel,code,guided,100,4,1,time,0.000318,../results/logs/guided_c100_t4.log
parallel,code,guided,100,4,2,time,0.000334,../results/logs/guided_c100_t4.log
parallel,code,guided,100,4,3,time,0.000247,../results/logs/guided_c100_t4.log
parallel,code,guided,100,8,1,time,0.000481,../results/logs/guided_c100_t8.log
parallel,code,guided,100,8,2,time,0.000500,../results/logs/guided_c100_t8.log
parallel,code,guided,100,8,3,time,0.000374,../results/logs/guided_c100_t8.log
sequential,code,-,-,-,1,time,0.000000,../results/logs/seq_runs.log
sequential,code,-,-,-,2,time,0.000001,../results/logs/seq_runs.log
sequential,code,-,-,-,3,time,0.000000,../results/logs/seq_runs.log
parallel,code,static,1,1,1,time,0.000023,../results/logs/static_c1_t1.log
parallel,code,static,1,1,2,time,0.000025,../results/logs/static_c1_t1.log
parallel,code,static,1,1,3,time,0.000023,../results/logs/static_c1_t1.log
parallel,code,static,1,2,1,time,0.000176,../results/logs/static_c1_t2.log
parallel,code,static,1,2,2,time,0.000194,../results/logs/static_c1_t2.log
parallel,code,static,1,2,3,time,0.000137,../results/logs/static_c1_t2.log
parallel,code,static,1,4,1,time,0.000267,../results/logs/static_c1_t4.log
parallel,code,static,1,4,2,time,0.000388,../results/logs/static_c1_t4.log
parallel,code,static,1,4,3,time,0.000234,../results/logs/static_c1_t4.log
parallel,code,static,1,8,1,time,0.000365,../results/logs/static_c1_t8.log
